Date,Open,High,Low,Close,Volume
2007-07-20 00:00:00,109.0,111.11,108.01,109.2,2211623351.09
2007-07-23 00:00:00,109.7,112.65,108.1,112.0,3901828829.37
2007-07-24 00:00:00,112.1,113.05,109.47,109.53,3536964241.26
2007-07-25 00:00:00,108.5,109.98,107.1,109.63,4300852581.85
2007-07-26 00:00:00,110.0,110.42,103.3,104.18,5299122987.79
2007-07-27 00:00:00,102.0,103.83,100.81,102.41,5496358261.76
2007-07-30 00:00:00,102.65,104.29,100.33,102.0,3127256513.56
2007-07-31 00:00:00,103.62,105.64,102.9,105.5,3455744284.02
2007-08-01 00:00:00,102.78,102.91,101.55,101.59,3730892907.57
2007-08-02 00:00:00,102.54,103.36,101.78,102.3,2206814948.15
2007-08-03 00:00:00,103.0,103.53,101.91,102.28,2957788059.11
2007-08-06 00:00:00,100.53,101.41,99.98,100.54,2840126697.84
2007-08-07 00:00:00,101.59,102.5,99.98,100.65,2610578746.74
2007-08-08 00:00:00,101.69,102.91,101.65,102.8,3447126048.47
2007-08-09 00:00:00,103.57,103.89,98.77,99.57,5105188334.61
2007-08-10 00:00:00,97.6,97.99,94.31,95.55,7104454578.56
2007-08-13 00:00:00,96.68,97.8,95.55,97.39,3728081689.45
2007-08-14 00:00:00,96.2,97.37,96.0,96.85,1892126111.29
2007-08-15 00:00:00,95.07,95.28,93.23,94.5,2770473742.05
2007-08-16 00:00:00,92.5,92.55,89.52,90.51,5954946076.35
2007-08-17 00:00:00,90.51,95.18,88.31,94.8,10121205236.73
2007-08-20 00:00:00,95.25,96.44,93.1,93.19,3947082162.1
2007-08-21 00:00:00,94.35,94.4,89.6,91.4,6015745531.99
2007-08-22 00:00:00,91.57,93.8,90.55,93.6,4073215553.82
2007-08-23 00:00:00,94.89,96.08,93.51,94.27,5824923346.29
2007-08-24 00:00:00,93.3,94.3,92.26,93.81,3360888795.29
2007-08-27 00:00:00,95.19,95.6,94.0,95.11,3492456176.25
2007-08-28 00:00:00,94.9,95.08,93.71,94.4,2692699805.39
2007-08-29 00:00:00,92.15,94.4,92.01,93.94,3187049712.01
2007-08-30 00:00:00,95.0,96.0,94.21,94.3,3594002768.29
2007-08-31 00:00:00,95.5,97.73,95.05,97.39,4556601111.87
2007-09-03 00:00:00,97.8,98.97,97.12,98.0,3376020958.24
2007-09-04 00:00:00,97.99,98.25,96.75,97.2,2294740022.22
2007-09-05 00:00:00,97.51,97.8,94.9,95.0,3232834034.05
2007-09-06 00:00:00,95.04,97.1,95.04,96.51,3511884822.83
