Date,Open,High,Low,Close,Volume
2003-08-20 00:00:00,592.13,592.13,572.0,581.0,732918399.93
2003-08-21 00:00:00,581.79,594.0,580.11,589.5,624334333.66
2003-08-22 00:00:00,590.0,593.0,577.12,589.0,481076402.14
2003-08-25 00:00:00,590.0,591.99,583.0,586.5,239059194.84
2003-08-26 00:00:00,587.0,588.0,573.3,581.0,509956434.29
2003-08-27 00:00:00,581.25,589.39,577.0,589.0,499434708.98
2003-08-28 00:00:00,589.5,598.75,586.61,592.6,648020246.79
2003-08-29 00:00:00,594.75,600.7,592.25,595.99,539610672.2
2003-09-01 00:00:00,596.0,604.65,594.5,601.3,660620835.99
2003-09-02 00:00:00,616.25,616.25,596.0,601.0,892467358.41
2003-09-03 00:00:00,601.0,609.49,588.0,592.05,1296900392.47
2003-09-04 00:00:00,592.4,603.0,579.0,599.59,1037172507.0
2003-09-05 00:00:00,599.03,601.0,577.5,578.0,882892481.17
2003-09-08 00:00:00,578.79,579.99,565.1,573.0,876615025.39
2003-09-09 00:00:00,574.77,581.9,572.62,572.97,629809616.54
2003-09-10 00:00:00,572.8,581.5,562.51,580.85,704225027.49
2003-09-11 00:00:00,580.25,589.7,578.11,586.0,642612180.72
2003-09-12 00:00:00,588.0,595.0,586.6,589.2,505610924.86
2003-09-15 00:00:00,589.0,601.7,588.0,595.01,823582232.19
2003-09-16 00:00:00,596.53,599.5,586.0,596.49,675510702.95
2003-09-17 00:00:00,597.69,600.0,586.78,589.23,634368395.33
2003-09-18 00:00:00,589.0,593.0,582.5,582.56,408591219.41
2003-09-19 00:00:00,583.01,587.0,566.77,567.0,849297704.35
2003-09-22 00:00:00,566.98,571.0,561.5,562.51,522064714.39
2003-09-23 00:00:00,561.05,593.99,561.05,593.99,972309415.85
2003-09-24 00:00:00,595.0,602.5,588.1,598.0,1316129150.13
2003-09-25 00:00:00,598.0,599.4,591.3,592.8,551336904.38
2003-09-26 00:00:00,594.94,597.0,588.51,596.0,517866654.5
2003-09-29 00:00:00,596.0,623.7,596.0,623.69,1732866914.05
2003-09-30 00:00:00,625.0,631.5,623.2,625.9,1301137614.79
2003-10-01 00:00:00,627.0,638.9,620.0,637.61,1462246750.06
2003-10-02 00:00:00,643.25,660.5,641.0,659.7,1767050374.06
2003-10-03 00:00:00,663.0,688.3,663.0,684.31,2069188316.12
2003-10-06 00:00:00,684.5,694.91,673.5,694.85,1360179606.43
2003-10-07 00:00:00,696.0,724.0,692.0,713.0,1916882293.07
2003-10-08 00:00:00,718.0,749.0,690.05,715.0,3407042614.3
2003-10-09 00:00:00,719.0,740.0,695.0,702.0,2833477243.79
2003-10-10 00:00:00,702.73,706.5,682.03,683.0,1100534641.48
2003-10-13 00:00:00,685.0,693.8,680.2,693.0,701371448.53
2003-10-14 00:00:00,694.95,717.49,687.01,689.0,1774269962.2
2003-10-15 00:00:00,689.35,701.99,680.27,683.5,1437189864.84
2003-10-16 00:00:00,685.0,703.0,684.6,695.3,1433531219.26
2003-10-17 00:00:00,697.0,721.8,690.01,721.0,2398193413.82
2003-10-20 00:00:00,720.0,724.0,694.51,695.5,1935709599.9
2003-10-21 00:00:00,696.0,698.0,663.0,681.5,1939093850.78
2003-10-22 00:00:00,679.03,684.5,650.03,653.5,1540255425.35
2003-10-23 00:00:00,649.95,654.92,641.0,646.52,1527001288.52
2003-10-24 00:00:00,648.25,659.0,645.2,652.5,917206012.92
2003-10-27 00:00:00,600.0,625.0,566.01,625.0,2423405536.44
2003-10-28 00:00:00,626.7,646.0,617.0,644.0,1823163769.11
2003-10-29 00:00:00,645.0,648.0,613.0,630.12,1821648295.22
2003-10-30 00:00:00,627.05,631.5,570.03,584.0,1864751117.69
2003-10-31 00:00:00,595.25,610.99,590.0,609.5,1341293545.47
2003-11-03 00:00:00,612.0,659.0,612.0,658.99,1441812796.16
2003-11-04 00:00:00,658.0,664.8,646.0,654.0,1577195256.56
2003-11-05 00:00:00,655.0,658.0,630.29,637.0,1207575249.69
2003-11-06 00:00:00,639.45,644.2,626.0,634.65,1003307448.16
2003-11-10 00:00:00,642.75,658.99,639.0,643.52,1292675099.53
2003-11-11 00:00:00,644.95,644.95,628.0,635.0,740382608.11
2003-11-12 00:00:00,635.55,641.1,618.02,632.0,996923008.61
2003-11-13 00:00:00,635.0,641.0,630.8,633.97,599372673.27
2003-11-14 00:00:00,635.0,638.7,620.5,621.61,665776987.31
2003-11-17 00:00:00,620.0,623.0,601.01,604.0,842191834.44
2003-11-18 00:00:00,604.99,608.0,580.01,584.9,1085789340.36
2003-11-19 00:00:00,585.01,588.8,568.3,580.02,1100281454.04
2003-11-20 00:00:00,583.46,602.0,578.5,602.0,1398407002.41
2003-11-21 00:00:00,600.0,617.0,597.5,615.0,1206310938.35
2003-11-24 00:00:00,615.5,628.47,615.0,628.0,970847404.06
2003-11-25 00:00:00,628.0,640.6,622.11,638.3,1039560440.55
2003-11-26 00:00:00,638.99,650.0,634.5,643.48,1207433012.05
2003-11-27 00:00:00,640.5,650.77,631.0,649.0,878570713.0
2003-11-28 00:00:00,650.05,659.59,625.0,642.32,1359737777.04
2003-12-01 00:00:00,640.06,641.5,624.0,636.11,766613405.36
2003-12-02 00:00:00,639.5,652.0,629.4,643.01,1254381998.48
2003-12-03 00:00:00,647.03,665.89,642.11,661.4,1235314854.26
2003-12-04 00:00:00,668.4,669.5,648.92,648.92,957607881.18
2003-12-05 00:00:00,650.0,660.84,643.0,653.0,824883172.95
2003-12-08 00:00:00,621.5,659.0,621.5,653.99,865365247.09
2003-12-09 00:00:00,660.5,682.0,646.0,681.0,2029605973.7
2003-12-10 00:00:00,680.05,688.5,665.1,673.0,1636963355.17
2003-12-11 00:00:00,673.01,678.4,663.5,675.0,904205644.9
2003-12-15 00:00:00,680.95,684.22,675.67,679.78,726974878.46
2003-12-16 00:00:00,676.37,679.7,656.0,656.6,1032576163.27
2003-12-17 00:00:00,656.75,659.0,645.5,649.7,631273707.7
2003-12-18 00:00:00,646.53,654.63,640.0,649.0,1171564916.68
2003-12-19 00:00:00,650.11,665.02,649.9,663.2,1046631247.75
2003-12-22 00:00:00,664.01,669.49,655.55,664.98,698883766.73
2003-12-23 00:00:00,660.0,675.95,658.65,670.5,1093614720.16
2003-12-24 00:00:00,670.26,677.0,664.0,664.0,825743300.07
2003-12-25 00:00:00,664.15,673.4,660.5,673.0,452383652.92
2003-12-26 00:00:00,676.45,676.45,666.93,669.81,246734706.17
2003-12-29 00:00:00,670.0,675.9,668.5,675.0,249585835.35
2003-12-30 00:00:00,679.15,679.48,670.51,677.0,297085883.55
2004-01-05 00:00:00,681.05,718.85,681.05,718.02,1048734421.25
2004-01-06 00:00:00,722.0,725.0,714.0,718.0,964339305.75
2004-01-08 00:00:00,710.01,715.4,699.11,700.0,1038428103.29
2004-01-09 00:00:00,704.0,716.0,703.0,714.89,818202934.75
2004-01-12 00:00:00,714.93,721.96,700.2,700.21,1320657628.61
2004-01-13 00:00:00,702.0,719.8,695.0,703.0,1875695317.66
2004-01-14 00:00:00,703.0,709.3,696.1,709.0,1080817080.25
2004-01-15 00:00:00,711.01,712.2,686.01,687.8,1307455739.02
2004-01-16 00:00:00,688.0,703.0,683.2,691.8,1017285671.76
2004-01-19 00:00:00,700.0,705.6,689.5,705.0,912613396.07
2004-01-20 00:00:00,702.25,718.9,702.25,718.0,1992144863.79
2004-01-21 00:00:00,719.06,733.49,717.01,733.48,2378893914.02
2004-01-22 00:00:00,734.0,735.0,716.51,732.0,2263630376.82
2004-01-23 00:00:00,733.0,746.8,721.9,742.9,2262477393.35
2004-01-26 00:00:00,740.13,745.0,732.5,740.37,1377649591.35
