<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20110315,000000,161.3900000,166.8800000,160.7600000,165.0900000,4592151
20110316,000000,164.7000000,168.1400000,162.8701000,164.7100000,4971297
20110317,000000,165.9200000,166.3000000,160.7800000,160.9250000,6111507
20110318,000000,161.2800000,163.5400000,160.5900000,161.8000000,5876003
20110321,000000,163.5300000,165.7900000,161.7200000,164.4900000,3852020
20110322,000000,164.0500000,164.4400000,162.2500000,162.6000000,3299902
20110323,000000,162.3000000,166.2600000,160.8200000,165.3200000,4519634
20110324,000000,168.0800000,172.0000000,167.3600000,171.0600000,6032772
20110325,000000,171.6500000,173.4900000,170.3000000,170.9900000,4112055
20110328,000000,171.8000000,172.5000000,169.2500000,169.3500000,3119030
20110329,000000,170.7400000,174.8400000,170.0700000,174.6600000,4694101
20110330,000000,177.8700000,181.1600000,177.6600000,179.4200000,6539401
20110331,000000,179.3100000,181.5700000,178.5000000,180.1400000,4381159
20110401,000000,181.5800000,183.2500000,178.5900000,180.1200000,5254042
20110404,000000,180.8200000,183.6100000,180.6900000,182.9500000,3988652
20110405,000000,182.3300000,186.3600000,181.8000000,185.2900000,5169985
20110406,000000,186.1500000,188.2700000,181.1200000,182.7600000,5234980
20110407,000000,182.7800000,185.1700000,181.7600000,184.9000000,4366749
20110408,000000,185.3600000,186.2200000,182.7800000,184.7100000,3576948
20110411,000000,184.8600000,186.4900000,181.8500000,184.0300000,3137890
20110412,000000,183.0500000,184.5900000,179.4200000,180.4800000,5208054
20110413,000000,180.8400000,182.8800000,179.8000000,182.2900000,3873649
20110414,000000,181.3900000,182.0800000,179.3600000,181.7200000,3377227
20110415,000000,181.0000000,181.7800000,179.0196000,180.0000000,4086373
20110418,000000,178.3800000,178.9100000,175.3700000,178.3500000,4338662
20110419,000000,178.3600000,179.4700000,176.6000000,178.8100000,2559522
20110420,000000,181.6200000,185.0000000,181.5900000,183.9000000,3886814
20110421,000000,184.5500000,185.9700000,183.0460000,185.9600000,2985364
20110425,000000,185.6500000,186.3500000,183.7700000,185.4200000,3133303
20110426,000000,186.2700000,186.4200000,180.7380000,182.3000000,6254849
20110427,000000,183.2000000,197.8000000,182.7500000,196.6300000,22499224
20110428,000000,196.0600000,196.7900000,192.2700000,195.0800000,6836978
20110429,000000,194.3800000,196.5900000,193.7800000,196.4100000,4269025
20110502,000000,196.6900000,203.4200000,196.1800000,201.2000000,9035309
20110503,000000,201.0000000,202.5900000,196.6900000,198.6000000,5862759
20110504,000000,198.2700000,201.8600000,195.3700000,199.8700000,6233432
20110505,000000,198.5700000,201.0000000,196.1200000,197.1700000,4341156
20110506,000000,199.1000000,199.5600000,196.5600000,197.5200000,3777778
20110509,000000,198.3000000,202.3600000,196.7800000,200.8100000,5643797
20110510,000000,201.9400000,205.2900000,201.5600000,204.0000000,5593679
20110511,000000,203.1200000,205.5000000,202.2500000,204.3700000,4666138
20110512,000000,204.2200000,206.1852000,200.6200000,206.0300000,4634768
20110513,000000,205.7000000,206.3900000,202.3600000,202.5500000,3869742
20110516,000000,200.7100000,200.9000000,191.3700000,192.4800000,8834919
20110517,000000,191.9200000,195.9800000,191.7600000,194.8400000,6924749
20110518,000000,194.3500000,198.2830000,193.2500000,197.0800000,4725645
20110519,000000,198.1500000,199.9500000,197.5500000,198.8050000,3510499
20110520,000000,197.9500000,199.8000000,197.2400000,198.5800000,3251820
20110523,000000,195.5000000,197.2900000,192.0200000,196.2400000,4052229
