<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20120104,000000,28.2100000,28.6700000,27.5000000,27.7100000,618711
20120105,000000,27.7600000,27.9300000,26.8500000,27.1200000,998207
20120106,000000,27.2000000,27.7900000,26.4100000,26.9100000,979491
20120109,000000,27.0000000,27.4900000,26.1200000,27.2500000,888631
20120110,000000,27.4400000,27.7600000,27.2500000,27.6200000,668112
20120111,000000,27.6200000,28.3800000,27.3000000,28.2300000,656008
20120112,000000,28.4800000,28.6200000,22.7900000,22.7900000,1057732
20120113,000000,28.4000000,28.5000000,22.6400000,22.7900000,51391466
20120116,000000,26.6000000,26.6000000,26.6000000,26.6000000,586926
20120117,000000,26.6200000,27.3400000,26.4100000,26.6000000,4962140
20120118,000000,26.6900000,26.8800000,26.2500000,26.6401000,914006
20130115,000000,33.1100000,34.2500000,33.0800000,33.8900000,1582584
20140122,000000,177.8100000,180.3190000,174.7600000,178.4500000,5758327
20140123,000000,177.2300000,182.3800000,173.4200000,181.4900000,6943183
20140124,000000,177.8500000,180.4800000,173.5310000,174.5200000,6683759
20140127,000000,175.1600000,177.9200000,164.7100000,169.5199000,7722000
20140128,000000,171.5000000,178.9800000,171.0000000,178.2300000,5382552
20140129,000000,175.3000000,179.0900000,173.1310000,175.2100000,5065069
20140130,000000,178.0000000,184.7800000,177.0100000,182.8500000,7239046
20140131,000000,178.8500000,186.0000000,178.6000000,181.4100000,5613077
20140203,000000,182.8900000,184.8797000,175.1600000,177.1300000,5714122
20140204,000000,180.7000000,181.6000000,176.2000000,178.7000000,4144042
20140205,000000,178.3000000,179.3700000,169.3600000,174.4000000,4942152
20140206,000000,176.3000000,180.1100000,176.0000000,178.3800000,4716582
20140207,000000,181.0100000,185.9800000,180.0000000,185.1200000,5091206
20140210,000000,189.3400000,199.3000000,189.3200000,196.5600000,10996458
20140211,000000,198.9700000,202.2000000,192.7000000,196.6200000,11865602
20140212,000000,195.7800000,198.2690000,194.3200000,195.3200000,4434535
20140213,000000,193.3400000,202.7200000,193.2500000,199.6300000,7001195
20140214,000000,198.1000000,201.8800000,197.0000000,198.2300000,5266334
20140218,000000,205.2440000,205.7200000,201.3601000,204.9500000,5884430
20140219,000000,203.7000000,203.7000000,193.4100000,193.6400000,10165374
20140220,000000,215.0100000,215.2100000,206.2700000,209.9700000,14953989
20140221,000000,211.6400000,213.9800000,209.1900000,209.6000000,6842559
20140224,000000,208.7599000,218.3600000,208.3200000,217.6500000,7314434
20140225,000000,230.0000000,259.2000000,228.4500000,248.0000000,27865811
20140226,000000,258.5800000,265.0000000,247.5000000,253.0000000,19512708
20140227,000000,261.2500000,261.9000000,248.3300000,252.5400000,14452223
20140228,000000,249.6500000,252.6800000,242.5500000,244.8100000,11800024
20140303,000000,237.2600000,251.6500000,234.9900000,250.5600000,10910686
20140304,000000,258.4800000,260.0000000,252.8300000,254.8400000,7117326
20140305,000000,256.7200000,256.9900000,251.8000000,252.6600000,4839496
20140306,000000,254.1400000,257.5000000,249.4500000,252.9400000,6329439
20140307,000000,252.9400000,254.8500000,244.4100000,246.2100000,6357946
20140310,000000,242.7000000,243.0000000,236.0600000,238.6800000,6555969
20140311,000000,236.5000000,244.6000000,232.4262000,234.4100000,7334643
20140312,000000,231.5000000,244.4900000,231.1100000,241.4900000,8295971
20140313,000000,243.7900000,244.1900000,234.0000000,237.7900000,5135946
20140314,000000,235.2900000,236.9365000,228.3200000,230.9700000,6955736
20140317,000000,234.9500000,237.9300000,230.5000000,233.9800000,5115662
20140318,000000,236.9500000,241.5000000,235.0200000,240.0400000,5258924
20140319,000000,241.3900000,241.5500000,233.5100000,235.8400000,4255460
20140320,000000,236.1600000,239.2500000,233.3600000,234.9100000,3132877
20140321,000000,236.0200000,236.2000000,227.5000000,229.1800000,5874424
20140324,000000,229.7500000,229.9000000,210.2700000,220.1250000,9674384
20140325,000000,224.1400000,227.0500000,217.9000000,220.4400000,6722704
20140326,000000,221.9500000,222.6000000,211.3501000,212.9600000,5909331
20140327,000000,212.3700000,213.6000000,203.0000000,207.3200000,8220667
20140328,000000,212.8000000,216.7200000,210.2700000,212.3700000,8236010
20140331,000000,216.5000000,216.7500000,206.3900000,208.4701000,6979393
20140401,000000,209.0200000,218.1600000,208.5800000,216.9700000,6318734
20140402,000000,220.0000000,230.8900000,218.0500000,230.2900000,9319785
20140403,000000,230.3000000,235.7300000,222.0000000,225.4000000,9438067
20140404,000000,226.0100000,228.2700000,212.0800000,212.2250000,4725427
20140407,000000,205.8100000,216.2000000,205.0000000,205.5750000,4778156
20140408,000000,210.0500000,216.4899000,206.4200000,215.4600000,5885317
20140409,000000,216.7600000,218.4500000,210.8900000,216.9300000,4357152
20140410,000000,216.8200000,217.5000000,204.1200000,204.1900000,3056689
20140411,000000,200.6100000,207.0000000,198.6000000,203.7800000,7702787
20140414,000000,207.6000000,208.4400000,194.4100000,198.0900000,6522712
20140415,000000,199.0900000,199.2900000,189.3000000,193.9100000,5168754
20140416,000000,197.0000000,199.9900000,190.8200000,199.1100000,5817155
20140417,000000,199.6100000,202.2900000,194.0800000,198.1200000,5029151
20140421,000000,197.0800000,206.2000000,194.0000000,204.3800000,4548090
20140422,000000,206.3600000,219.3300000,205.0100000,218.6400000,8327942
20140423,000000,216.3300000,216.7400000,207.0000000,207.9900000,6160663
20140424,000000,210.8100000,212.8000000,203.2000000,207.8600000,4321787
20140425,000000,202.0000000,206.7000000,197.6500000,199.8500000,5968592
20140428,000000,200.0000000,203.7899000,194.5000000,198.5100000,2966258
20140429,000000,198.2100000,207.1490000,195.5301000,206.9200000,5031711
20140430,000000,203.6000000,208.1600000,201.2800000,207.7000000,2760176
20140506,000000,216.6000000,218.6596000,206.8500000,207.1000000,4698622
20140507,000000,209.6400000,210.2000000,197.2500000,202.0900000,3549444
20140508,000000,182.0000000,194.4000000,178.0000000,178.5900000,16629333
20140509,000000,179.8600000,183.4000000,177.2200000,182.2600000,7380499
20140512,000000,183.8700000,187.1900000,179.8800000,185.6400000,5135483
20140513,000000,183.7600000,191.3400000,183.0000000,190.2000000,5902793
20140514,000000,188.9500000,193.4800000,187.1000000,190.6200000,4755912
20140515,000000,189.9800000,192.6599000,185.3000000,188.4505000,5275941
20140516,000000,188.9500000,192.0400000,187.7200000,191.5600000,3844587
20140519,000000,190.7200000,196.8900000,190.0000000,196.0900000,3966449
20140520,000000,196.9400000,199.3300000,193.0701000,195.3000000,4930581
20140521,000000,196.1800000,199.0200000,194.7900000,198.8700000,3592647
20140522,000000,200.3500000,206.8800000,199.5604000,204.6800000,5032030
20140523,000000,204.5300000,207.7600000,202.5000000,207.2200000,3359054
20140527,000000,208.5200000,213.8700000,207.7000000,211.0600000,3109729
20140528,000000,210.0200000,212.7700000,205.2600000,210.1000000,4468411
20140529,000000,210.5700000,212.4900000,207.7200000,210.2400000,3128358
20140530,000000,210.3000000,214.8000000,207.0200000,207.7700000,4839491
20140602,000000,207.3300000,209.3500000,201.6700000,204.7000000,3982289
20140603,000000,203.4900000,208.0000000,202.5900000,204.9400000,3425088
20140604,000000,204.3500000,206.2600000,200.3960000,203.9900000,2998082
20140605,000000,204.4700000,209.2000000,204.0500000,206.9000000,3450797
20140606,000000,209.7500000,210.8100000,207.1800000,208.1710000,2603971
20140609,000000,207.9500000,209.9900000,204.2000000,205.3100000,2345281
20140610,000000,204.4300000,206.9700000,201.5500000,202.3000000,2976887
20140611,000000,201.5000000,205.0000000,199.2510000,204.4700000,3521027
20140612,000000,205.1000000,209.8800000,202.7100000,203.5200000,5286342
20140613,000000,204.7800000,206.7900000,201.5840000,206.4200000,3028479
20140616,000000,206.7600000,225.4900000,206.2600000,224.6100000,11571371
20140617,000000,224.1100000,235.5400000,222.8500000,231.6700000,11341571
20140618,000000,231.5000000,231.7100000,226.1200000,227.3500000,4613284
20140619,000000,228.8800000,235.3100000,227.0000000,227.7900000,7677182
20140620,000000,228.5200000,231.2900000,226.2000000,229.5900000,4127348
20140623,000000,229.5100000,238.9900000,228.2200000,237.2200000,6786115
20140624,000000,238.9700000,241.8800000,231.6278000,232.5000000,6934093
20140625,000000,233.0500000,237.5000000,230.2400000,236.6000000,4418364
20140626,000000,237.1700000,240.4000000,234.2110000,235.6000000,4435544
20140627,000000,234.6900000,240.0000000,234.5001000,239.0600000,4690094
20140630,000000,239.5500000,244.4900000,239.0000000,240.0600000,4168812
20140701,000000,242.4600000,243.4400000,238.7000000,239.7200000,3597775
20140702,000000,240.6600000,242.3300000,227.0700000,229.4250000,6877574
20140703,000000,231.2900000,231.8984000,224.0000000,229.2500000,4429999
20140707,000000,227.5000000,229.7800000,220.4000000,222.6600000,5025982
20140708,000000,218.6500000,220.6800000,214.2700000,216.7700000,4919414
20140709,000000,221.2700000,224.2200000,219.2100000,223.0700000,3364042
20140710,000000,217.1800000,222.2200000,216.0400000,219.3700000,4168692
20140711,000000,220.6100000,221.6000000,217.6000000,218.1300000,2737913
20140714,000000,219.9900000,228.7900000,215.4502000,226.7000000,6258790
20140715,000000,226.7300000,227.6500000,218.1000000,219.5800000,4832330
20140716,000000,221.8200000,224.8000000,216.8200000,217.3200000,3364591
20140717,000000,216.1600000,220.5500000,213.6000000,215.4000000,3908988
20140718,000000,215.9500000,221.2100000,215.9300000,220.0201000,3538345
20140721,000000,217.2500000,223.2100000,216.7200000,220.5400000,3268618
20140722,000000,222.1900000,223.3000000,219.1113000,219.6100000,2322754
20140723,000000,220.0100000,224.7500000,219.4300000,222.4900000,2676020
20140724,000000,223.2500000,225.1000000,220.8000000,223.5400000,2665966
20140725,000000,222.7200000,226.9700000,221.7500000,223.5700000,2666391
20140728,000000,224.2500000,232.0000000,221.4020000,224.8200000,5762151
20140729,000000,226.6100000,228.3000000,224.8600000,225.0100000,2774934
20140730,000000,221.9200000,229.6000000,221.0400000,228.9200000,4023738
20140731,000000,229.2600000,231.4000000,221.5000000,223.3000000,5258979
20140801,000000,226.0900000,237.5000000,226.0000000,233.2700000,10128108
20140804,000000,234.3800000,240.5000000,233.2700000,238.5200000,5111737
20140805,000000,237.4700000,242.9900000,235.6900000,238.4900000,4602106
20140806,000000,238.9000000,251.4200000,238.5800000,248.9301000,8038230
20140807,000000,250.1200000,256.6880000,249.1200000,252.3900000,6376048
20140808,000000,251.1600000,251.7600000,246.5000000,248.1300000,4325608
20140811,000000,255.4800000,263.7400000,255.0000000,259.3200000,6734518
20140812,000000,258.0800000,260.3000000,254.5801000,260.0700000,4885268
20140813,000000,262.0100000,265.6400000,259.6100000,260.2900000,5826193
20140814,000000,262.4900000,263.0000000,258.5400000,261.4700000,3420119
20140815,000000,261.4800000,262.0900000,258.5000000,262.0100000,2198527
20140818,000000,263.2500000,267.2600000,259.7500000,259.8500000,4812265
20140819,000000,258.8700000,259.3300000,251.6200000,256.7600000,4434540
20140820,000000,254.6700000,258.7400000,253.0000000,255.7100000,2573359
20140821,000000,256.5200000,258.8000000,253.2600000,254.3400000,2488618
20140822,000000,254.5400000,256.9499000,252.6100000,256.7800000,2420362
20140825,000000,258.1900000,263.6800000,258.1900000,262.5500000,3720239
20140826,000000,264.9800000,265.5000000,261.6600000,261.7400000,3128445
20140827,000000,263.5000000,264.2400000,260.2900000,263.2005000,2505855
20140828,000000,261.8900000,264.4800000,261.6400000,263.8600000,2448293
20140829,000000,268.7000000,272.0000000,267.5100000,269.7000000,5401957
20140902,000000,275.5000000,284.8900000,274.3000000,284.0500000,8076673
20140903,000000,287.6700000,288.0000000,280.1000000,281.1900000,5507577
20140904,000000,284.0100000,291.4200000,280.4000000,286.0400000,6933561
20140905,000000,282.5500000,282.9000000,272.5100000,277.3900000,9082892
20140908,000000,277.6200000,284.8800000,277.5227000,282.1100000,4712911
20140909,000000,282.9900000,285.4900000,277.0000000,278.4000000,3811624
20140910,000000,279.5000000,281.4100000,273.6600000,281.1000000,3151660
20140911,000000,280.4600000,284.7900000,278.6300000,280.3100000,3264252
20140912,000000,280.5000000,282.3900000,277.0000000,279.2000000,2774428
20140915,000000,274.3700000,274.4000000,249.1300000,253.8600000,14096210
20140916,000000,255.1500000,262.4600000,252.4200000,260.7400000,7246021
20140917,000000,262.4100000,264.7000000,259.5000000,261.3800000,4464731
20140918,000000,263.3600000,265.6000000,262.3200000,263.8200000,3147641
20140919,000000,257.9900000,261.4300000,255.2700000,259.3200000,4951429
20140922,000000,255.0000000,256.0200000,244.7100000,250.0300000,7043622
20140923,000000,245.2200000,253.8000000,245.0000000,250.4100000,4964744
20140924,000000,251.1200000,252.8400000,247.0400000,252.1400000,3234782
20140925,000000,252.5200000,254.9600000,246.1000000,246.9500000,4179274
20140926,000000,248.2500000,249.7300000,246.0700000,246.6000000,3376889
20140929,000000,244.0000000,248.6400000,241.3800000,245.2600000,4081341
20140930,000000,246.9200000,247.6500000,240.1249000,242.6800000,3637400
20141001,000000,242.2000000,242.6600000,236.2801000,240.2400000,2788443
20141002,000000,250.2000000,252.7900000,245.7400000,246.5500000,3796676
20141003,000000,253.0600000,256.5000000,251.0330000,255.2100000,4715639
20141006,000000,259.1300000,262.4900000,257.8000000,260.6200000,6877958
