<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20060526,000000,1426.6000000,1496.4400000,1426.6000000,1495.1100000,0
20060529,000000,1513.1500000,1524.5800000,1492.0800000,1492.0800000,0
20060530,000000,1492.3500000,1498.4700000,1454.6900000,1476.9900000,0
20060531,000000,1476.6100000,1476.6100000,1443.6700000,1461.2200000,0
20060601,000000,1460.7000000,1463.2900000,1449.1000000,1459.9900000,0
20060602,000000,1465.7900000,1536.9700000,1465.7900000,1535.3800000,0
20060605,000000,1558.8300000,1558.8600000,1541.9700000,1542.9500000,0
20060606,000000,1541.9000000,1541.9000000,1469.9500000,1469.9500000,0
20060607,000000,1469.8900000,1475.8500000,1422.0300000,1431.4000000,0
20060608,000000,1425.5000000,1425.5000000,1361.1200000,1361.1200000,0
20060609,000000,1377.5400000,1384.8900000,1347.9700000,1362.5100000,0
20060613,000000,1358.8800000,1358.8800000,1234.4400000,1234.8200000,0
20060614,000000,1234.6400000,1274.3900000,1219.1100000,1274.3900000,0
20060615,000000,1277.3500000,1344.2700000,1277.3500000,1344.2700000,0
20060616,000000,1346.5200000,1389.6500000,1315.6600000,1329.8700000,0
20060619,000000,1329.9000000,1352.0700000,1323.1600000,1347.4700000,0
20060620,000000,1346.5400000,1361.0000000,1322.8700000,1361.0000000,0
20060621,000000,1364.8200000,1376.0000000,1348.8700000,1361.5800000,0
20060622,000000,1364.1600000,1391.1500000,1354.1200000,1354.1200000,0
20060623,000000,1353.5500000,1355.5300000,1337.5800000,1344.9000000,0
20060626,000000,1345.4000000,1348.6200000,1337.3800000,1348.6200000,0
20060627,000000,1349.8900000,1399.1900000,1349.8900000,1396.9400000,0
20060628,000000,1392.2400000,1414.0100000,1380.2500000,1414.0100000,0
20060629,000000,1416.3200000,1449.3900000,1416.3200000,1447.9200000,0
20060630,000000,1448.9200000,1503.0600000,1448.9200000,1494.6300000,0
20060703,000000,1494.7400000,1515.8800000,1494.7400000,1512.0400000,0
20060704,000000,1512.6600000,1539.5200000,1508.7000000,1539.5200000,0
20060705,000000,1539.3700000,1539.3700000,1501.2800000,1501.2800000,0
20060706,000000,1502.4000000,1535.8600000,1502.4000000,1535.8600000,0
20060707,000000,1537.5500000,1557.0500000,1533.5900000,1549.6600000,0
20060710,000000,1548.2700000,1555.7500000,1539.9600000,1555.6900000,0
20060711,000000,1555.2700000,1564.2100000,1550.4000000,1551.8300000,0
20060712,000000,1553.9800000,1570.9900000,1552.2700000,1552.4000000,0
20060713,000000,1552.2800000,1553.8200000,1486.1300000,1487.5100000,0
20060714,000000,1487.1900000,1499.6000000,1459.5600000,1484.5800000,0
20060717,000000,1485.5500000,1485.5500000,1457.0100000,1459.5500000,0
20060718,000000,1457.9000000,1457.9000000,1435.4400000,1455.6200000,0
20060719,000000,1455.7800000,1481.8900000,1449.0100000,1481.8900000,0
20060720,000000,1484.2200000,1516.6400000,1484.2200000,1503.6400000,0
20060721,000000,1503.4300000,1503.4300000,1490.0900000,1490.0900000,0
20060724,000000,1489.5000000,1499.6800000,1486.8800000,1499.6800000,0
20060725,000000,1502.0200000,1512.0700000,1502.0200000,1506.3800000,0
20060726,000000,1505.5300000,1511.6300000,1505.5300000,1511.4000000,0
20060727,000000,1511.7600000,1560.4400000,1511.7600000,1560.1700000,0
20060728,000000,1559.6000000,1559.6000000,1544.2400000,1555.5800000,0
20060731,000000,1556.3900000,1565.4600000,1550.3900000,1551.0900000,0
20060801,000000,1551.0900000,1570.8500000,1544.5200000,1544.8800000,0
20060802,000000,1545.7600000,1569.9000000,1545.7600000,1569.9000000,0
20060803,000000,1583.9700000,1602.8200000,1580.4100000,1596.0800000,0
20060804,000000,1596.2900000,1631.2000000,1593.9500000,1629.2300000,0
20060807,000000,1628.4900000,1628.4900000,1611.4500000,1623.5900000,0
20060808,000000,1624.7100000,1633.2600000,1616.8300000,1619.9800000,0
20060809,000000,1620.4100000,1643.1200000,1619.8900000,1642.9100000,0
20060810,000000,1642.1800000,1642.1800000,1625.6400000,1631.1500000,0
20060811,000000,1633.4100000,1657.8300000,1633.4100000,1657.2000000,0
20060814,000000,1657.4800000,1670.3000000,1651.5700000,1651.6200000,0
20060815,000000,1655.8500000,1655.8500000,1622.0500000,1644.1600000,0
20060816,000000,1645.1800000,1663.9800000,1644.6000000,1654.9000000,0
20060817,000000,1659.3300000,1660.5800000,1643.4600000,1647.5400000,0
20060818,000000,1647.1100000,1647.1100000,1595.2200000,1595.2200000,0
20060821,000000,1596.2700000,1624.9700000,1596.2700000,1618.5900000,0
20060822,000000,1619.7600000,1641.1100000,1619.7600000,1641.1100000,0
20060823,000000,1641.0300000,1650.7700000,1631.8000000,1647.7100000,0
20060824,000000,1646.9800000,1646.9800000,1633.5700000,1637.8800000,0
20060825,000000,1638.3000000,1644.9400000,1638.3000000,1643.1800000,0
20060828,000000,1642.5700000,1644.2000000,1640.4600000,1643.1700000,0
20060829,000000,1643.4200000,1668.8000000,1642.2300000,1643.9300000,0
20060830,000000,1644.3300000,1655.2700000,1644.3300000,1651.4500000,0
20060831,000000,1651.6100000,1659.6600000,1626.6900000,1626.6900000,0
20060901,000000,1627.5700000,1633.3600000,1617.7600000,1620.0000000,0
20060904,000000,1621.3100000,1634.1100000,1616.9400000,1634.1100000,0
20060905,000000,1634.3500000,1655.2700000,1633.0600000,1655.0400000,0
20060906,000000,1653.9800000,1654.2500000,1630.2700000,1630.2700000,0
20060907,000000,1628.7000000,1628.7000000,1587.9800000,1588.6200000,0
20060908,000000,1587.5300000,1595.1700000,1586.1300000,1591.1200000,0
20060911,000000,1586.8500000,1586.8500000,1534.6700000,1534.6800000,0
20060912,000000,1535.1200000,1546.7600000,1535.1200000,1542.7000000,0
20060913,000000,1541.6400000,1560.7700000,1536.3700000,1556.3200000,0
20060914,000000,1556.3400000,1577.9400000,1556.3400000,1566.3900000,0
20060915,000000,1565.2100000,1567.6600000,1550.2500000,1550.6800000,0
20060918,000000,1551.0500000,1568.6600000,1551.0500000,1567.1500000,0
20060919,000000,1571.2600000,1583.4400000,1571.2600000,1577.8500000,0
20060920,000000,1573.5600000,1573.5600000,1545.1800000,1554.3100000,0
20060921,000000,1555.0200000,1557.2500000,1534.7500000,1534.7500000,0
20060922,000000,1536.9600000,1537.4000000,1504.9000000,1504.9000000,0
20060925,000000,1504.0500000,1504.0500000,1451.9600000,1452.5400000,0
20060926,000000,1453.9200000,1484.1300000,1453.9200000,1484.1300000,0
20060927,000000,1484.5600000,1522.5400000,1484.5600000,1519.0600000,0
20060928,000000,1524.1300000,1558.9300000,1524.1300000,1558.8500000,0
20060929,000000,1558.8400000,1563.1900000,1546.3400000,1549.9900000,0
20061002,000000,1550.1000000,1564.5100000,1550.1000000,1557.2300000,0
20061003,000000,1554.9100000,1554.9100000,1521.2700000,1522.7500000,0
20061004,000000,1518.7400000,1523.6700000,1503.7300000,1520.9600000,0
20061005,000000,1524.0500000,1567.1100000,1524.0500000,1566.0000000,0
20061006,000000,1566.8900000,1567.4900000,1552.1400000,1554.9900000,0
