<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20060919,000000,160500.0000000,161150.0000000,159400.0000000,160650.0000000,24820
20060920,000000,158555.0000000,159000.0000000,155000.0000000,157245.0000000,32121
20060921,000000,156015.0000000,158550.0000000,153600.0000000,154810.0000000,37631
20060922,000000,155000.0000000,155945.0000000,148725.0000000,149000.0000000,38652
20060925,000000,147500.0000000,148800.0000000,142700.0000000,143995.0000000,28430
20060926,000000,146495.0000000,149600.0000000,145850.0000000,149600.0000000,34697
20060927,000000,152000.0000000,154400.0000000,150175.0000000,153205.0000000,37612
20060928,000000,156995.0000000,157250.0000000,155000.0000000,156190.0000000,44780
20060929,000000,155400.0000000,156250.0000000,153600.0000000,155895.0000000,41675
20061002,000000,156995.0000000,157750.0000000,154800.0000000,155840.0000000,25250
20061003,000000,154500.0000000,154500.0000000,150900.0000000,152110.0000000,39295
20061004,000000,150000.0000000,153550.0000000,148500.0000000,151655.0000000,65646
20061005,000000,154600.0000000,157200.0000000,153700.0000000,156150.0000000,46721
20061006,000000,156005.0000000,156725.0000000,153600.0000000,154970.0000000,46930
20061009,000000,154600.0000000,160690.0000000,153850.0000000,160690.0000000,45089
20061010,000000,160105.0000000,161500.0000000,158700.0000000,159910.0000000,58350
20061011,000000,158505.0000000,159895.0000000,156900.0000000,159345.0000000,70210
20061012,000000,158000.0000000,159680.0000000,157660.0000000,159405.0000000,52806
20061013,000000,161000.0000000,163290.0000000,160500.0000000,163235.0000000,47294
20061016,000000,163995.0000000,165000.0000000,161500.0000000,161985.0000000,45168
20061017,000000,163900.0000000,164795.0000000,160900.0000000,161545.0000000,47134
20061018,000000,161410.0000000,165130.0000000,160900.0000000,164200.0000000,40730
20061019,000000,163555.0000000,165675.0000000,163200.0000000,165495.0000000,28588
20061020,000000,166705.0000000,167190.0000000,163700.0000000,163755.0000000,47682
20061023,000000,163290.0000000,164000.0000000,161280.0000000,162500.0000000,48148
20061024,000000,163005.0000000,163050.0000000,160250.0000000,161620.0000000,45514
20061025,000000,162510.0000000,164000.0000000,161210.0000000,163950.0000000,45740
20061026,000000,165700.0000000,166300.0000000,163055.0000000,163710.0000000,43890
20061027,000000,163545.0000000,164120.0000000,161600.0000000,162600.0000000,47461
20061030,000000,161000.0000000,162250.0000000,159100.0000000,159450.0000000,46712
20061031,000000,159250.0000000,162700.0000000,159105.0000000,162305.0000000,53758
20061101,000000,162995.0000000,164935.0000000,162300.0000000,164900.0000000,43363
20061102,000000,164000.0000000,164740.0000000,162330.0000000,163260.0000000,44621
20061103,000000,163150.0000000,165825.0000000,162790.0000000,165380.0000000,34619
20061107,000000,166950.0000000,168845.0000000,166500.0000000,168105.0000000,35782
20061108,000000,167500.0000000,168695.0000000,166165.0000000,167750.0000000,43745
20061109,000000,168525.0000000,171100.0000000,168175.0000000,170695.0000000,40675
20061110,000000,170035.0000000,172070.0000000,168605.0000000,171405.0000000,46472
20061113,000000,170905.0000000,172985.0000000,170510.0000000,171350.0000000,47271
20061114,000000,172105.0000000,172850.0000000,169855.0000000,170500.0000000,55289
